"areacode","areaname","procode3","CountAdm"
"E06000002","Middlesbrough","RVV",1
"E06000002","Middlesbrough","RBT",1
"E06000002","Middlesbrough","RCX",1
"E06000002","Middlesbrough","RDE",1
"E06000002","Middlesbrough","RFR",1
"E06000002","Middlesbrough","RJ2",1
"E06000002","Middlesbrough","RTE",1
"E06000002","Middlesbrough","RWE",1
"E06000002","Middlesbrough","RXR",1
"E06000002","Middlesbrough","RYJ",1
"E06000003","Redcar and Cleveland","RTR",18210
"E06000003","Redcar and Cleveland","RVW",235
"E06000003","Redcar and Cleveland","RX3",228
"E06000003","Redcar and Cleveland","RTD",160
"E06000003","Redcar and Cleveland","RCB",31
"E06000003","Redcar and Cleveland","RXP",20
"E06000003","Redcar and Cleveland","RCD",12
"E06000003","Redcar and Cleveland","RR8",12
"E06000003","Redcar and Cleveland","RXF",7
"E06000003","Redcar and Cleveland","RNL",7
"E06000003","Redcar and Cleveland","RTF",7
"E06000003","Redcar and Cleveland","RJ1",6
"E06000003","Redcar and Cleveland","RWA",5
"E06000003","Redcar and Cleveland","RX1",5
"E06000003","Redcar and Cleveland","RTX",5
"E06000003","Redcar and Cleveland","R0B",6
"E06000003","Redcar and Cleveland","RBT",5
"E06000003","Redcar and Cleveland","RLQ",5
"E06000003","Redcar and Cleveland","RD8",4
"E06000003","Redcar and Cleveland","RR7",4
"E06000003","Redcar and Cleveland","RWE",4
"E06000003","Redcar and Cleveland","RXL",4
"E06000003","Redcar and Cleveland","RHM",4
"E06000003","Redcar and Cleveland","REF",3
"E06000003","Redcar and Cleveland","R0A",3
"E06000003","Redcar and Cleveland","RYJ",3
"E06000003","Redcar and Cleveland","RDE",2
"E06000003","Redcar and Cleveland","RHQ",2
"E06000003","Redcar and Cleveland","RTG",2
"E06000003","Redcar and Cleveland","RVJ",2
"E06000003","Redcar and Cleveland","RCX",2
"E06000003","Redcar and Cleveland","RJR",2
"E06000003","Redcar and Cleveland","RM1",2
"E06000003","Redcar and Cleveland","RRK",3
"E06000003","Redcar and Cleveland","RTE",2
"E06000003","Redcar and Cleveland","RD3",2
"E06000003","Redcar and Cleveland","RWD",2
"E06000003","Redcar and Cleveland","RAE",2
"E06000003","Redcar and Cleveland","RBL",2
"E06000003","Redcar and Cleveland","RJE",2
"E06000003","Redcar and Cleveland","R1H",2
"E06000003","Redcar and Cleveland","RCF",2
"E06000003","Redcar and Cleveland","RRV",2
"E06000003","Redcar and Cleveland","RAL",2
"E06000003","Redcar and Cleveland","RFF",2
"E06000003","Redcar and Cleveland","REM",2
"E06000003","Redcar and Cleveland","RWJ",2
"E06000003","Redcar and Cleveland","RA3",2
"E06000003","Redcar and Cleveland","RAS",2
"E06000003","Redcar and Cleveland","RJL",2
"E06000003","Redcar and Cleveland","RW6",2
"E06000003","Redcar and Cleveland","RXR",2
"E06000003","Redcar and Cleveland","RQ8",1
"E06000003","Redcar and Cleveland","R1K",1
"E06000003","Redcar and Cleveland","RAJ",1
"E06000003","Redcar and Cleveland","RBZ",1
"E06000003","Redcar and Cleveland","RJC",1
"E06000003","Redcar and Cleveland","RN5",1
"E06000003","Redcar and Cleveland","RNZ",1
"E06000003","Redcar and Cleveland","RPA",1
"E06000003","Redcar and Cleveland","RXH",1
"E06000003","Redcar and Cleveland","RXQ",1
"E06000003","Redcar and Cleveland","RDZ",1
"E06000003","Redcar and Cleveland","RGT",1
"E06000003","Redcar and Cleveland","RWW",1
"E06000003","Redcar and Cleveland","RXN",1
"E06000003","Redcar and Cleveland","RDU",1
"E06000003","Redcar and Cleveland","RJN",1
"E06000003","Redcar and Cleveland","RK5",1
"E06000003","Redcar and Cleveland","RWF",1
"E06000003","Redcar and Cleveland","RWP",1
"E06000003","Redcar and Cleveland","RYR",1
"E06000003","Redcar and Cleveland","RBN",1
"E06000003","Redcar and Cleveland","RBS",1
"E06000003","Redcar and Cleveland","RGM",1
"E06000003","Redcar and Cleveland","RJ2",1
"E06000003","Redcar and Cleveland","RM3",1
"E06000003","Redcar and Cleveland","RP5",1
"E06000003","Redcar and Cleveland","RT3",1
"E06000003","Redcar and Cleveland","RNQ",1
"E06000003","Redcar and Cleveland","RWG",1
"E06000003","Redcar and Cleveland","RX4",1
"E06000003","Redcar and Cleveland","RBA",1
"E06000003","Redcar and Cleveland","RBD",1
"E06000003","Redcar and Cleveland","RD1",1
"E06000003","Redcar and Cleveland","RN3",1
"E06000003","Redcar and Cleveland","RQX",1
"E06000003","Redcar and Cleveland","RV9",1
"E06000003","Redcar and Cleveland","RA2",1
"E06000003","Redcar and Cleveland","RJZ",1
"E06000003","Redcar and Cleveland","RN7",1
"E06000004","Stockton-on-Tees","RVW",25776
"E06000004","Stockton-on-Tees","RTR",2780
"E06000004","Stockton-on-Tees","RX3",304
"E06000004","Stockton-on-Tees","RTD",301
"E06000004","Stockton-on-Tees","RXP",126
"E06000004","Stockton-on-Tees","RCB",28
"E06000004","Stockton-on-Tees","R0B",35
"E06000004","Stockton-on-Tees","RTF",13
"E06000004","Stockton-on-Tees","R0A",12
"E06000004","Stockton-on-Tees","RR8",9
"E06000004","Stockton-on-Tees","R1H",8
"E06000004","Stockton-on-Tees","REM",9
"E06000004","Stockton-on-Tees","RXL",7
"E06000004","Stockton-on-Tees","RHQ",6
"E06000004","Stockton-on-Tees","RAL",6
"E06000004","Stockton-on-Tees","RCD",6
"E06000004","Stockton-on-Tees","RFS",6
"E06000004","Stockton-on-Tees","RNL",6
"E06000004","Stockton-on-Tees","RKB",5
"E06000004","Stockton-on-Tees","RTH",5
"E06000004","Stockton-on-Tees","RTX",5
"E06000004","Stockton-on-Tees","RJR",4
"E06000004","Stockton-on-Tees","RCX",4
"E06000004","Stockton-on-Tees","RFF",4
"E06000004","Stockton-on-Tees","RQM",4
"E06000004","Stockton-on-Tees","RR7",4
"E06000004","Stockton-on-Tees","RWA",4
"E06000004","Stockton-on-Tees","RVJ",4
"E06000004","Stockton-on-Tees","RTG",4
"E06000004","Stockton-on-Tees","RWW",4
"E06000004","Stockton-on-Tees","RVV",4
"E06000004","Stockton-on-Tees","RDU",3
"E06000004","Stockton-on-Tees","RJ1",3
"E06000004","Stockton-on-Tees","RNA",3
"E06000004","Stockton-on-Tees","RGT",3
"E06000004","Stockton-on-Tees","RJZ",3
"E06000004","Stockton-on-Tees","RWD",3
"E06000004","Stockton-on-Tees","RRK",4
"E06000004","Stockton-on-Tees","RWY",3
"E06000004","Stockton-on-Tees","RXN",3
"E06000004","Stockton-on-Tees","RA9",3
"E06000004","Stockton-on-Tees","RVY",3
"E06000004","Stockton-on-Tees","RN5",3
"E06000004","Stockton-on-Tees","RP5",3
"E06000004","Stockton-on-Tees","RX4",3
"E06000004","Stockton-on-Tees","RXF",3
"E06000004","Stockton-on-Tees","RCF",2
"E06000004","Stockton-on-Tees","RDZ",2
"E06000004","Stockton-on-Tees","RBA",2
"E06000004","Stockton-on-Tees","RDD",2
"E06000004","Stockton-on-Tees","RHW",2
"E06000004","Stockton-on-Tees","RK5",2
"E06000004","Stockton-on-Tees","RX1",2
"E06000004","Stockton-on-Tees","RBT",2
"E06000004","Stockton-on-Tees","RF4",2
"E06000004","Stockton-on-Tees","RBD",2
"E06000004","Stockton-on-Tees","REF",2
"E06000004","Stockton-on-Tees","RW6",2
"E06000004","Stockton-on-Tees","RWH",2
"E06000004","Stockton-on-Tees","R1F",2
"E06000004","Stockton-on-Tees","RAJ",2
"E06000004","Stockton-on-Tees","RJL",2
"E06000004","Stockton-on-Tees","RTE",2
"E06000004","Stockton-on-Tees","RJ2",2
"E06000004","Stockton-on-Tees","RXW",3
"E06000004","Stockton-on-Tees","RBQ",1
"E06000004","Stockton-on-Tees","RL4",1
"E06000004","Stockton-on-Tees","RP6",1
"E06000004","Stockton-on-Tees","RRV",1
"E06000004","Stockton-on-Tees","RXK",1
"E06000004","Stockton-on-Tees","RAX",1
"E06000004","Stockton-on-Tees","RHM",1
"E06000004","Stockton-on-Tees","RVR",1
"E06000004","Stockton-on-Tees","RXM",1
"E06000004","Stockton-on-Tees","RXY",1
"E06000004","Stockton-on-Tees","RA2",1
"E06000004","Stockton-on-Tees","RBS",1
"E06000004","Stockton-on-Tees","RC1",1
"E06000004","Stockton-on-Tees","RD3",1
"E06000004","Stockton-on-Tees","RJE",1
"E06000004","Stockton-on-Tees","RKE",1
"E06000004","Stockton-on-Tees","RQ3",1
"E06000004","Stockton-on-Tees","RQ8",1
"E06000004","Stockton-on-Tees","RTK",1
"E06000004","Stockton-on-Tees","RAE",1
"E06000004","Stockton-on-Tees","RM3",1
"E06000004","Stockton-on-Tees","RMP",1
"E06000004","Stockton-on-Tees","RNQ",1
"E06000004","Stockton-on-Tees","RYJ",1
"E06000004","Stockton-on-Tees","RCU",1
"E06000004","Stockton-on-Tees","RN7",1
"E06000004","Stockton-on-Tees","RXR",1
"E06000004","Stockton-on-Tees","R1K",1
"E06000004","Stockton-on-Tees","RAP",1
"E06000004","Stockton-on-Tees","RJ7",1
"E06000004","Stockton-on-Tees","RNS",1
"E06000004","Stockton-on-Tees","RXC",1
"E06000004","Stockton-on-Tees","RA4",1
"E06000004","Stockton-on-Tees","RLT",1
"E06000004","Stockton-on-Tees","RMC",1
"E06000004","Stockton-on-Tees","RWJ",1
"E06000004","Stockton-on-Tees","RXQ",1
"E06000004","Stockton-on-Tees","RBN",1
"E06000005","Darlington","RXP",12341
"E06000005","Darlington","RTR",613
"E06000005","Darlington","RX3",229
"E06000005","Darlington","RTD",193
"E06000005","Darlington","RVW",180
"E06000005","Darlington","RCB",18
"E06000005","Darlington","RTF",14
"E06000005","Darlington","RR8",10
"E06000005","Darlington","RNL",10
"E06000005","Darlington","R0B",17
"E06000005","Darlington","RTX",7
"E06000005","Darlington","RWD",6
"E06000005","Darlington","RFF",5
"E06000005","Darlington","R0A",4
"E06000005","Darlington","REF",4
"E06000005","Darlington","RDU",3
"E06000005","Darlington","RMY",3
"E06000005","Darlington","RP5",4
"E06000005","Darlington","RVR",3
"E06000005","Darlington","RCD",3
"E06000005","Darlington","RA7",3
"E06000005","Darlington","RXN",3
"E06000005","Darlington","RCF",2
"E06000005","Darlington","RGN",2
"E06000005","Darlington","RJC",2
"E06000005","Darlington","RKB",2
"E06000005","Darlington","RNZ",2
"E06000005","Darlington","RWA",2
"E06000005","Darlington","RD8",2
"E06000005","Darlington","RGM",2
"E06000005","Darlington","RL4",2
"E06000005","Darlington","RR7",2
"E06000005","Darlington","R1K",2
"E06000005","Darlington","RAE",2
"E06000005","Darlington","RCX",2
"E06000005","Darlington","RH8",2
"E06000005","Darlington","RHW",2
"E06000005","Darlington","RQM",2
"E06000005","Darlington","RX4",2
"E06000005","Darlington","RA9",2
"E06000005","Darlington","RNS",2
"E06000005","Darlington","RWJ",2
"E06000005","Darlington","REM",3
"E06000005","Darlington","RXK",2
"E06000005","Darlington","RBZ",1
"E06000005","Darlington","RFR",1
"E06000005","Darlington","RJZ",1
"E06000005","Darlington","RVJ",1
"E06000005","Darlington","RXQ",1
"E06000005","Darlington","RD1",1
"E06000005","Darlington","RFS",1
"E06000005","Darlington","RM3",1
"E06000005","Darlington","RRF",1
"E06000005","Darlington","RRK",2
"E06000005","Darlington","RWP",1
"E06000005","Darlington","RXF",1
"E06000005","Darlington","RAL",1
"E06000005","Darlington","RV9",1
"E06000005","Darlington","RVY",1
"E06000005","Darlington","R1F",1
"E06000005","Darlington","RAJ",1
"E06000005","Darlington","RJ1",1
"E06000005","Darlington","RTE",1
"E06000005","Darlington","RWW",1
"E06000005","Darlington","RBN",1
"E06000005","Darlington","RJL",1
"E06000005","Darlington","RBT",1
"E06000005","Darlington","RLQ",1
"E06000005","Darlington","RT5",1
"E06000005","Darlington","RA4",1
"E06000005","Darlington","RD3",1
"E06000005","Darlington","RGT",1
"E06000005","Darlington","RHM",1
"E06000005","Darlington","RHU",1
"E06000005","Darlington","RJR",1
"E06000005","Darlington","RQ8",1
"E06000005","Darlington","RXA",1
"E06000005","Darlington","RXW",1
"E06000005","Darlington","RQW",1
"E06000006","Halton","RBN",9944
"E06000006","Halton","RWW",7071
"E06000006","Halton","RBS",403
"E06000006","Halton","REM",540
"E06000006","Halton","RTV",229
"E06000006","Halton","RBQ",187
"E06000006","Halton","RJR",131
"E06000006","Halton","REN",77
"E06000006","Halton","RET",71
"E06000006","Halton","R0A",51
"E06000006","Halton","RM3",30
"E06000006","Halton","RBL",28
"E06000006","Halton","RBT",18
"E06000006","Halton","RBV",15
"E06000006","Halton","REP",15
"E06000006","Halton","RRF",13
"E06000006","Halton","RJE",9
"E06000006","Halton","RWJ",8
"E06000006","Halton","RVY",8
"E06000006","Halton","RW6",7
"E06000006","Halton","RXL",7
"E06000006","Halton","RJN",6
"E06000006","Halton","RR8",5
"E06000006","Halton","RRK",4
"E06000006","Halton","RW4",4
"E06000006","Halton","RAL",3
"E06000006","Halton","RKB",3
"E06000006","Halton","RTX",3
"E06000006","Halton","RMC",3
"E06000006","Halton","R1K",3
"E06000006","Halton","RXR",3
"E06000006","Halton","RDZ",2
"E06000006","Halton","RXA",2
"E06000006","Halton","RFS",2
"E06000006","Halton","RN5",2
"E06000006","Halton","RNL",2
"E06000006","Halton","RXH",2
"E06000006","Halton","RD3",2
"E06000006","Halton","RHM",2
"E06000006","Halton","RXN",2
"E06000006","Halton","RHQ",2
"E06000006","Halton","RBD",2
"E06000006","Halton","RDD",2
"E06000006","Halton","RXW",3
"E06000006","Halton","RC1",1
"E06000006","Halton","RD8",1
"E06000006","Halton","RDE",1
"E06000006","Halton","RDU",1
"E06000006","Halton","RJL",1
"E06000006","Halton","RLQ",1
"E06000006","Halton","RQ3",1
"E06000006","Halton","RNZ",1
"E06000006","Halton","RTG",1
"E06000006","Halton","RWF",1
"E06000006","Halton","RXQ",1
"E06000006","Halton","R1H",1
"E06000006","Halton","RA2",1
"E06000006","Halton","RNA",1
"E06000006","Halton","RWA",1
"E06000006","Halton","RXP",1
"E06000006","Halton","RA9",1
"E06000006","Halton","RTF",1
"E06000006","Halton","RX1",1
"E06000006","Halton","RAS",1
"E06000006","Halton","RFR",1
"E06000006","Halton","RTE",1
"E06000006","Halton","RHW",1
"E06000006","Halton","RTH",1
"E06000006","Halton","RTR",1
"E06000006","Halton","RWY",1
"E06000006","Halton","RCB",1
"E06000006","Halton","RCD",1
"E06000006","Halton","REF",1
"E06000006","Halton","RP5",1
"E06000006","Halton","RTD",1
"E06000007","Warrington","RWW",22145
"E06000007","Warrington","RBN",1151
"E06000007","Warrington","RBS",419
"E06000007","Warrington","RTV",349
"E06000007","Warrington","R0A",336
"E06000007","Warrington","REM",506
"E06000007","Warrington","RBQ",211
"E06000007","Warrington","RM3",196
"E06000007","Warrington","RET",141
"E06000007","Warrington","RJR",118
"E06000007","Warrington","RRF",111
"E06000007","Warrington","REN",104
"E06000007","Warrington","RBV",52
"E06000007","Warrington","RBT",36
"E06000007","Warrington","RBL",35
"E06000007","Warrington","REP",20
"E06000007","Warrington","RTX",20
"E06000007","Warrington","RWJ",18
"E06000007","Warrington","RXN",17
"E06000007","Warrington","RJE",14
"E06000007","Warrington","RW6",13
"E06000007","Warrington","RMC",11
"E06000007","Warrington","RXL",11
"E06000007","Warrington","RNL",10
"E06000007","Warrington","RJN",8
"E06000007","Warrington","RCB",7
"E06000007","Warrington","RR8",7
"E06000007","Warrington","R1H",7
"E06000007","Warrington","RVY",10
"E06000007","Warrington","RQM",7
"E06000007","Warrington","RMP",7
"E06000007","Warrington","RAP",6
"E06000007","Warrington","REF",6
"E06000007","Warrington","RGT",6
"E06000007","Warrington","RTD",6
"E06000007","Warrington","RXR",5
"E06000007","Warrington","RRK",8
"E06000007","Warrington","RRV",5
"E06000007","Warrington","R1K",5
"E06000007","Warrington","RDU",4
"E06000007","Warrington","RK9",4
"E06000007","Warrington","RWD",4
"E06000007","Warrington","RXW",5
"E06000007","Warrington","RJ1",4
"E06000007","Warrington","RNS",3
"E06000007","Warrington","RTR",3
"E06000007","Warrington","RAS",3
"E06000007","Warrington","RA4",3
"E06000007","Warrington","RHQ",3
"E06000007","Warrington","RGN",3
"E06000007","Warrington","RA9",3
"E06000007","Warrington","RFS",3
"E06000007","Warrington","RVV",3
"E06000007","Warrington","RHW",2
"E06000007","Warrington","RDE",2
"E06000007","Warrington","RH8",2
"E06000007","Warrington","RTH",2
"E06000007","Warrington","RWF",2
"E06000007","Warrington","RJ6",2
"E06000007","Warrington","RW4",2
"E06000007","Warrington","RWA",2
"E06000007","Warrington","RXA",2
"E06000007","Warrington","RM1",2
"E06000007","Warrington","RYJ",2
"E06000007","Warrington","RD8",2
"E06000007","Warrington","RL4",2
"E06000007","Warrington","RJC",2
"E06000007","Warrington","RVJ",2
"E06000007","Warrington","RJZ",2
"E06000007","Warrington","R1F",2
"E06000007","Warrington","RTF",2
"E06000007","Warrington","RTG",3
"E06000007","Warrington","RWY",2
"E06000007","Warrington","RD1",1
"E06000007","Warrington","RP5",1
"E06000007","Warrington","RPA",1
"E06000007","Warrington","RQW",1
"E06000007","Warrington","RHU",1
"E06000007","Warrington","RKB",1
"E06000007","Warrington","RLY",1
"E06000007","Warrington","RN7",1
"E06000007","Warrington","RX3",1
"E06000007","Warrington","RXE",1
"E06000007","Warrington","RYR",1
"E06000007","Warrington","RBD",1
"E06000007","Warrington","RJ7",1
"E06000007","Warrington","RWH",1
"E06000007","Warrington","RC1",1
"E06000007","Warrington","RFF",1
"E06000007","Warrington","RK5",1
"E06000007","Warrington","RWG",1
"E06000007","Warrington","RXK",2
"E06000007","Warrington","RA3",1
"E06000007","Warrington","RBK",1
"E06000007","Warrington","RCD",1
"E06000007","Warrington","RLQ",1
"E06000007","Warrington","RX1",1
"E06000007","Warrington","RNQ",1
"E06000007","Warrington","RXG",1
"E06000007","Warrington","RBZ",1
"E06000007","Warrington","RDD",1
"E06000007","Warrington","RGP",1
"E06000007","Warrington","RKE",1
"E06000007","Warrington","RTE",1
"E06000007","Warrington","RVR",1
"E06000007","Warrington","RXQ",1
"E06000007","Warrington","RC9",1
"E06000007","Warrington","RCF",1
"E06000007","Warrington","RF4",1
"E06000007","Warrington","RMY",1
"E06000007","Warrington","RQX",1
"E06000007","Warrington","RW5",1
"E06000008","Blackburn with Darwen","RXR",18496
"E06000008","Blackburn with Darwen","RXN",410
"E06000008","Blackburn with Darwen","R0A",260
"E06000008","Blackburn with Darwen","RW5",226
"E06000008","Blackburn with Darwen","RMC",204
"E06000008","Blackburn with Darwen","RXL",160
"E06000008","Blackburn with Darwen","RBV",39
"E06000008","Blackburn with Darwen","RW6",32
"E06000008","Blackburn with Darwen","RM3",29
"E06000008","Blackburn with Darwen","RTX",20
"E06000008","Blackburn with Darwen","RBS",19
"E06000008","Blackburn with Darwen","RVY",11
"E06000008","Blackburn with Darwen","RJE",9
"E06000008","Blackburn with Darwen","RRF",8
"E06000008","Blackburn with Darwen","RR8",7
"E06000008","Blackburn with Darwen","RTH",7
"E06000008","Blackburn with Darwen","R1H",7
"E06000008","Blackburn with Darwen","RWY",6
"E06000008","Blackburn with Darwen","RCB",6
"E06000008","Blackburn with Darwen","RDU",5
"E06000008","Blackburn with Darwen","RWJ",5
"E06000008","Blackburn with Darwen","RBN",5
"E06000008","Blackburn with Darwen","RWE",5
"E06000008","Blackburn with Darwen","RHW",5
"E06000008","Blackburn with Darwen","RBT",4
"E06000008","Blackburn with Darwen","RK9",4
"E06000008","Blackburn with Darwen","RQM",4
"E06000008","Blackburn with Darwen","RCF",4
"E06000008","Blackburn with Darwen","REM",8
"E06000008","Blackburn with Darwen","RA9",4
"E06000008","Blackburn with Darwen","RWW",4
"E06000008","Blackburn with Darwen","RXF",4
"E06000008","Blackburn with Darwen","RHQ",4
"E06000008","Blackburn with Darwen","RNL",3
"E06000008","Blackburn with Darwen","RXQ",3
"E06000008","Blackburn with Darwen","REF",3
"E06000008","Blackburn with Darwen","RFS",3
"E06000008","Blackburn with Darwen","RF4",3
"E06000008","Blackburn with Darwen","RRK",5
"E06000008","Blackburn with Darwen","RET",3
"E06000008","Blackburn with Darwen","RJL",2
"E06000008","Blackburn with Darwen","RJR",2
"E06000008","Blackburn with Darwen","RYJ",2
"E06000008","Blackburn with Darwen","RVW",2
"E06000008","Blackburn with Darwen","RWK",2
"E06000008","Blackburn with Darwen","RN5",2
"E06000008","Blackburn with Darwen","RRV",2
"E06000008","Blackburn with Darwen","RXW",2
"E06000008","Blackburn with Darwen","RNQ",2
"E06000008","Blackburn with Darwen","RPA",2
"E06000008","Blackburn with Darwen","RAE",2
"E06000008","Blackburn with Darwen","RMP",2
"E06000008","Blackburn with Darwen","RQX",2
"E06000008","Blackburn with Darwen","RAS",2
"E06000008","Blackburn with Darwen","RWA",2
"E06000008","Blackburn with Darwen","RWD",2
"E06000008","Blackburn with Darwen","RJ1",1
"E06000008","Blackburn with Darwen","RAX",1
"E06000008","Blackburn with Darwen","RC9",1
"E06000008","Blackburn with Darwen","RCX",1
"E06000008","Blackburn with Darwen","RD8",1
"E06000008","Blackburn with Darwen","RNS",1
"E06000008","Blackburn with Darwen","RTF",1
"E06000008","Blackburn with Darwen","TAD",1
"E06000008","Blackburn with Darwen","RA7",1
"E06000008","Blackburn with Darwen","RAT",1
"E06000008","Blackburn with Darwen","RBZ",1
"E06000008","Blackburn with Darwen","RDD",1
"E06000008","Blackburn with Darwen","RQ3",1
"E06000008","Blackburn with Darwen","RTR",2
"E06000008","Blackburn with Darwen","RVJ",1
"E06000008","Blackburn with Darwen","RXP",1
"E06000008","Blackburn with Darwen","RJ6",1
"E06000008","Blackburn with Darwen","RQW",1
"E06000008","Blackburn with Darwen","RTV",1
"E06000008","Blackburn with Darwen","RBL",1
"E06000008","Blackburn with Darwen","RJC",1
"E06000008","Blackburn with Darwen","RVV",1
"E06000008","Blackburn with Darwen","RX3",1
"E06000008","Blackburn with Darwen","RXE",1
"E06000008","Blackburn with Darwen","RAP",1
"E06000008","Blackburn with Darwen","RBA",1
"E06000008","Blackburn with Darwen","RGR",1
"E06000008","Blackburn with Darwen","RGT",1
"E06000008","Blackburn with Darwen","RHM",1
"E06000008","Blackburn with Darwen","RLQ",1
"E06000008","Blackburn with Darwen","RTE",1
"E06000008","Blackburn with Darwen","RVR",1
"E06000008","Blackburn with Darwen","RWF",1
